"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
FAS - Office of Integrated Award Environment,Central Office,Option Exercised,Program Planning IV&V,Washington,DC,541512,Small Business,Firm Fixed Price,GSA Schedule,Set-Aside,"$176,019.00","$176,019.00",,TecPort Solutions,GS-06F-0936Z/GSQ0014AH1002,Exercise of Option,GSA funded,1/3/15,,FY 2015-2nd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",ITS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Option Exercised,IAE PMO Support,Washington,DC,541618,Woman-Owned Small Business,Firm Fixed Price,GSA Schedule,Full and Open Competition,"$820,878.00","$820,878.00",,"SiloSmashers, Inc.",GS-10F-0216N/GSQ0015AJ0019,Exercise of Option,GSA funded,12/14/14,,FY 2015-1st Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",FedSIM supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Federal Service Desk,Washington,DC,541512,Other Than Small,Cost Plus Award Fee,Contract,Full and Open Competition,"$8,947,856.20","$8,947,856.20",,Hewlett Packard,GST0013AJ137,Exercise of Option,GSA funded,9/27/15,,FY 2015-4th Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Option Exercised,Security Management Support Service,Washington,DC,541512,Woman-Owned Small Business,Firm Fixed Price,Blanket Purchase Agreement-BPA,Full and Open Competition,"$194,166.40","$194,166.40",,"SiloSmashers, Inc.",GS00Q13QD0008,Exercise of Option,GSA funded,8/1/15,,FY 2015-2nd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Region 5 Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,AOCS - SAM and FPDS,Washington,DC,541519,Other Than Small,Firm Fixed Price,Contract,Full and Open Competition,"$19,755,799.00","$19,755,799.00",,IBM,GS00Q14AJC0009,Exercise of Option,GSA funded,8/15/15,,FY 2015-4th Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Region 5 Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Dunn and Bradstreet,Washington,DC,561450,Other Than Small,Firm Fixed Price,Contract,Full and Open Competition,"$17,667,864.00","$17,667,864.00",,Dunn and Bradstreet,GS00I10AAC1040,Exercise of Option,GSA funded,6/30/15,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Consolidated Hosting Services,Washington,DC,Undetermined,Other Than Small,Firm Fixed Price,Contract,Full and Open Competition,$0.00,$0.00,,N/A,N/A,New Requirement,GSA funded,4/1/15,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Option Exercised,FBO/eSRS/FSRS,Washington,DC,541512,Small Business,Firm Fixed Price,GSA Schedule,Sole Source,"$7,005,958.00","$7,005,958.00",,Symplicity ,GS-06F-0721Z/GSQ0014AJ0060,Exercise of Option,GSA funded,3/31/15,,FY 2015-2nd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",FedSIM supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Option Exercise Pending,Architecture and Governance Support,Washington,DC,541611,Woman-Owned Small Business,Time and Materials,GSA Schedule,Full and Open Competition,"$941,629.00","$941,629.00",,"SiloSmashers, Inc.",GS-10F-0216N/GSQ0014AJ0046,Exercise of Option,GSA funded,6/3/15,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",FedSIM supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Technical Governance,Washington,DC,541512,Woman-Owned Small Business,Labor Hours,Government-wide Agency Contract-GWAC,Full and Open Competition,"$2,309,698.00","$2,309,698.00",,Caelum,GSQ0014AJ0077,Exercise of Option,GSA funded,9/23/15,,FY 2015-4th Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Region 5 Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Common Services,Washington,DC,541512,Other Than Small,Cost Plus Award Fee,Government-wide Agency Contract-GWAC,Full and Open Competition,"$14,361,645.00","$14,361,645.00",,Booz Allen Hamilton,GSQ0014AJ0101,Exercise of Option,GSA funded,9/8/15,,FY 2015-4th Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,IT Security Services - Cn'A,Washington,DC,Undetermined,Small Business,Firm Fixed Price,To Be Determined,To Be Determined,"$120,000.00","$120,000.00",,N/A,N/A,New Requirement,GSA funded,6/30/15,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,IAE 3 Core Development,Washington,DC,541511,Small Business,Cost Plus Award Fee,GSA Schedule-BPA,Competitive Delivery Order Fair Opportunity Provided,"$20,000,000.00","$40,000,000.00",,N/A,N/A,New Requirement,GSA funded,5/1/14,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,FPDS Oracle Licenses,Washington,DC,511210,Small Business,Firm Fixed Price,To Be Determined,Competitive Schedule Buy,"$8,000,000.00","$11,000,000.00",,N/A,N/A,New Requirement,GSA funded,1/15/15,,FY 2015-1st Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Indepent verification of FPDS and USAS software licensing,Washington ,DC,541511,Small Business,Firm Fixed Price,To Be Determined,Competitive Schedule Buy,"$90,000.00","$100,000.00",,N/A,N/A,New Requirement,GSA funded,12/24/14,,FY 2015-2nd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,FPDS software renewals,Washington ,DC,511210,Small Business,Firm Fixed Price,To Be Determined,Competitive Schedule Buy,"$60,000.00","$70,000.00",,N/A,N/A,New Requirement,GSA funded,2/15/15,,FY 2015-2nd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,FPDS Hardware  items,Washington ,DC,334111,Small Business,Firm Fixed Price,To Be Determined,Competitive Schedule Buy,"$250,000.00","$300,000.00",,N/A,N/A,New Requirement,GSA funded,2/15/15,,FY 2015-2nd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",OAS Supporting IAE
FAS - Office of Integrated Award Environment,Central Office,Planning,Dell/Checkpoint Licenses Renewals,Washington,DC,Undetermined,Small Business,Firm Fixed Price,,,"$763,000.00","$763,000.00",,,N/A,New Requirement,GSA funded,9/30/15,,FY 2015-4th Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS - Office of Integrated Award Environment,Central Office,Planning,Oracle Advanced Security Renewal,Washington,DC,Undetermined,Small Business,To Be Determined,,,"$42,000.00","$42,000.00",,,N/A,New Requirement,GSA funded,5/30/15,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS - Office of Integrated Award Environment,Central Office,Planning,SSL Cert Software Renewals,Washington,DC,Undetermined,Small Business,To Be Determined,,,"$27,000.00","$27,000.00",,,N/A,New Requirement,GSA funded,4/30/15,,FY 2015-3rd Quarter,Kristen Lanier,kristen.lanier@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Acquisition Management,Central Office,Awarded,Carbon Footprint Tool,Washington,DC,541620,Other Than Small,Firm Fixed Price,,,"$450,000.00","$450,000.00",,Noblis,,Exercise of Option,GSA funded,,,FY 2015-Quarter To Be Determined,dana.arnold@gsa.gov,dana.arnold@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Acquisition Management,Central Office,Awarded,Green Procurement Compilation,Washington,DC,541620,Other Than Small,Firm Fixed Price,Blanket Purchase Agreement-BPA,Competitive Delivery Order Fair Opportunity Provided,"$129,082.00","$129,082.00",,Noblis,,Exercise of Option,GSA funded,,,FY 2015-Quarter To Be Determined,dana.arnold@gsa.gov,dana.arnold@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Acquisition Management,Central Office,Awarded,Hotspots,Washington,DC,541620,Other Than Small,Firm Fixed Price,Definitive Contract,Full and Open Competition,"$142,285.98","$142,285.98",,IERS,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,dana.arnold@gsa.gov,dana.arnold@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Acquisition Management,Central Office,Awarded,Climate Change Adaption,Washington,DC,541620,Small Business,Firm Fixed Price,GSA Schedule Order,Full and Open Competition,"$17,893.90","$57,398.74",,Riverside Technology,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,dana.arnold@gsa.gov,dana.arnold@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Assisted Acquisition Services,Central Office,Planning,GSA AASBS - Internal Acquisition Systems,Washington,DC,541512,To Be Determined-IDIQ,Cost Plus Award Fee,Government-wide Agency Contract-GWAC,Competitive Delivery Order,"$80,000,000.00","$150,000,000.00",,TechFlow,GST0011AJ0032,Exercise of Option,GSA funded,1/1/16,,FY 2015-2nd Quarter,Michael Donaldson,michael.donaldson@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Final Option will be exercised in 23 2015; Procurement planning for the follow-on requirement will begin at that time
FAS-Office of Assisted Acquisition Services,Central Office,Planning,eSign Transactions,Washington,DC,541512,Other Than Small,Firm Fixed Price,GSA Schedule,"Not Competed (e.g., sole source, urgency, etc., all > SAT)","$500,000.00","$700,000.00",,Silanis,GST0013AJ0010,To Be Determined,GSA funded,7/1/15,,FY 2015-4th Quarter,Michael Donaldson,michael.donaldson@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Supports GSA IT
FAS-Office of Customer Accounts and Research,Central Office,Awarded,Professional Services Support for Cart and FAS CRM,Washington,DC,443120,Other Than Small,Firm Fixed Price,Blanket Purchase Agreement-BPA,Full and Open Competition,$0.00,$0.00,,Unisys Corporation,GS-35F-0343J,Exercise of Option,GSA funded,,,FY 2015-2nd Quarter,Zoe-Ann Freitag,zoe-ann.freitag@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Customer Accounts and Research,Central Office,Planning,FAS Portifolio of Research Resources,Washington,DC,541519,Other Than Small,Firm Fixed Price,GSA Schedule,Full and Open Competition,"$193,131.00","$193,131.00",,Deltek,GS-35F-0004P,Exercise of Option,GSA funded,,,FY 2015-4th Quarter,Zoe-Ann Freitag,zoe-ann.freitag@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Customer Accounts and Research,Central Office,Awarded,Contract suppt-strategy developmt,Washington,DC,541511,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,GSA Schedule,Competitive Schedule Buy,"$20,902.90","$20,902.90",,,QP0020226  Contract No. GS-35F-0149N,New Requirement,GSA funded,11/5/14,,FY 2015-1st Quarter,Zoe-Ann Freitag,zoe-ann.freitag@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov","Awarded to SIRC a Small Disadvantaged, Woman-Owned Company and SBA Certified Hubzone"
FAS-Office of Customer Accounts and Research,Central Office,Drafting Solicitation,Customer Engagement Playbook and Customer Engagement Training,Washington,DC,541511,Small Business,Firm Fixed Price,GSA Schedule,Competitive Schedule Buy,"$100,000.00","$735,000.00",,,,New Requirement,GSA funded,4/15/15,to be issued on ebuy,FY 2015-3rd Quarter,Zoe-Ann Freitag,zoe-ann.freitag@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov","Awarded to SIRC a Small Disadvantaged, Woman-Owned Company and SBA Certified Hubzone"
FAS-Office of General Supplies and Services,Central Office,Planning,Temporary Store Support Services,TBD,VARIOUS LOCATIONS,561320,Small Business,Firm Fixed Price,Blanket Purchase Agreement-BPA,Full and Open Competition,"$75,000,000.00","$75,000,000.00",,,,New Requirement,GSA funded,12/1/14,TBD,FY 2015-1st Quarter,,,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of General Supplies and Services,Central Office,Planning,GSS-Transformation LOG Support,San Joaquin New Cumberland,CA PA,541614,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Labor Hours,GSA Schedule,Set-Aside;FAS-IL-14-02,"$374,000.00","$1,870,000.00",,NA,TBD,New Requirement,GSA funded,11/30/15, ,FY 2015-1st Quarter,Bridgette Overbey,bridgette.overbey@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of General Supplies and Services,Central Office,Awarded,"Real-time Database Software for Pricing Comparison
for GS&S and ITS Multiple Award Schedules",National,NATIONWIDE,541511,"Small Business, 8a, Woman-owned, Service Disabled Veteran-owned, HUBZone",Firm Fixed Price,Multiple Award Schedule 70,"The Government intended to award to a small-business, but not restrict award to only a SDB, WOSB, SDVOSB, or HUBZone vendor.","$100,000.00","$1,275,000.00",,"XSB, Inc.",FP0021021,New Requirement,GSA funded,8/27/14, ,FY 2015-1st Quarter,Carlton Benton,carlton.benton@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov","Awarded 10/14/2014 - Small Business - $200,000.00 "
FAS-Office of General Supplies and Services,Central Office,Planning,GSA Global Supply Advantage/Ability One Essentially-the-Same (ETS) Report,Setauket,NY,541511,"Small Business, 8a, Woman-owned, Service Disabled Veteran-owned, HUBZone",Firm Fixed Price,Multiple Award Schedule 70,"The Government intends to award to a small-business, but not restrict award to only a SDB, WOSB, SDVOSB, or HUBZone vendor.","$70,000.00","$100,000.00",,"XSB, Inc.",N/A,New Requirement,GSA funded,10/28/14,,FY 2015-1st Quarter,Carlton Benton,carlton.benton@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Integrated Technology Services,Central Office,Planning,Performance Data Analysis and Measurement Support,Washington,DC,Undetermined,To Be Determined,,GSA Schedule,GSA Schedule FAR Part 8,"$236,000.00","$236,000.00",,"Mantech Enterprise Management, Inc",TBD,New Requirement,GSA funded,5/1/15,,FY 2015-4th Quarter,Bart Bates,james.bates@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Integrated Technology Services,Central Office,Awarded,Connections II Program Support,Washington,DC,541611,Other Than Small,Labor Hours,Call Order under GSA Schedules BPA,Competitive Schedule Buy,"$2,036,538.00","$3,956,590.00",,"Noblis, Inc.",GSQ0012NS0008,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,Angela Chiu,angela.chiu@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,Mobility Implementation & Management,Washington,DC,541611,Other Than Small,Labor Hours,Call Order under GSA Schedules BPA,Competitive Schedule Buy,"$1,597,055.00","$2,147,513.00",,"Noblis, Inc.",GSQ0013NS3003,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,angela.chiu@gsa.gov,angela.chiu@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,Wireless Program Support,Washington,DC,541611,Other Than Small,Labor Hours,Call Order under GSA Schedules BPA,Competitive Schedule Buy,"$905,634.00","$2,240,200.00",,"Noblis, Inc.",GSQ0012NS0009,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,angela.chiu@gsa.gov,angela.chiu@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,WITS 3 Support,Washington,DC,541611,Other Than Small,Labor Hours,Call Order under GSA Schedules BPA,Competitive Schedule Buy,"$347,782.00","$1,422,788.00",,"Noblis, Inc.",GSQ0013NS3002,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,angela.chiu@gsa.gov,angela.chiu@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,WITS - MATRIX Acquisition Support,Washington,DC,541611,Other Than Small,Labor Hours,Call Order under GSA Schedules BPA,Competitive Schedule Buy,"$2,275,364.36","$3,990,782.88",,ASI,GSQ0013NS3004,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,angela.chiu@gsa.gov,angela.chiu@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,Network Hosting Center (NHC),Washington,DC,541611,Other Than Small,Firm Fixed Price,Contract,Sole Source,"$27,919,748.35","$35,764,654.10",,"Noblis, Inc.",GSQ0011NS0005,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,angela.chiu@gsa.gov,angela.chiu@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,Networx CenturyLink Enterprise,Arlington,VA,517110,Other Than Small,Fixed Price with Economic Price Adjustment,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$10,000,000.00","$20,100,000,000.00",,CenturyLink Enterprise- Networx,GS00T07NSD0040,Exercise of Option,Non-GSA funded,N/A,,FY 2015-3rd Quarter,Brittany Hannah,brittany.hannah@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,Networx CenturyLink Universal,Arlington,VA,517110,Other Than Small,Fixed Price with Economic Price Adjustment,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$175,000,000.00","$48,100,000,000.00",,CenturyLink Universal - Networx,GS00T07NSD0002,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Brittany Hannah,brittany.hannah@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,Networx AT&T Enterprise,Oakton,VA,517110,Other Than Small,Fixed Price with Economic Price Adjustment,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$10,000,000.00","$20,100,000,000.00",,AT&T Enterprise- Networx,GS00T07NSD0041,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Dinaira Borba,dinaira.borba@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,Networx Level 3 Enterprise,McLean,VA,517110,Other Than Small,Fixed Price with Economic Price Adjustment,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$10,000,000.00","$20,100,000,000.00",,Level 3 Enterprise - Networx,GS00T07NSD0037,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Dinaira Borba,dinaira.borba@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,Performance Data Analysis and Measurement Support,Fairfax,VA,541611,Other Than Small,Labor Hours,GSA Schedule,Competitive Schedule Buy,"$1,169,376.00","$1,169,376.00",,"Mantech Enterprise Management, Inc",GSQ0010NS0027,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,Emmanuel Osei Darko,emmanuel.oseidarko@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,Regional Business and Financial Support Services,Fairfax,VA,541611,Other Than Small,Labor Hours,GSA Schedule,Competitive Schedule Buy,$0.00,"$4,400,000.00",,"Noblis, Inc.",GSQ0012NS0006,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,Emmanuel Osei Darko,emmanuel.oseidarko@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,Regional Technical and Program Mgmt Support,Fairfax,VA,541611,Other Than Small,Labor Hours,GSA Schedule,Competitive Schedule Buy,$0.00,"$4,400,000.00",,"Noblis, Inc.",,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,Emmanuel Osei Darko,emmanuel.oseidarko@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,National Hosting Center II Recompete,Washington,DC,517110,To Be Determined,Firm Fixed Price,GSA Schedule,Set-Aside,"$35,000,000.00","$35,000,000.00",,Noblis,N/A,New Requirement,GSA funded,6/15/14,,FY 2015-1st Quarter,Emmanuel Osei Darko,emmanuel.oseidarko@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",
FAS-Office of Integrated Technology Services,Central Office,Planning,Networx Sprint Enterprise,Reston,VA,517110,Other Than Small,Fixed Price with Economic Price Adjustment,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$10,000,000.00","$20,100,000,000.00",,Sprint Enterprise - Networx,GS00T07NSD0039,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Emmanuel Osei Darko,emmanuel.oseidarko@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,eNIC services for Networx Contracts,Arlington,VA,517110,Other Than Small,Firm Fixed Price,Negotiated,Full and Open Competition,"$4,500,000.00","$4,500,000.00",,Telcordia dba as iConectiv,GS00Q10NSD1000,Exercise of Option,GSA funded,N/A,,FY 2015-2nd Quarter,Gregory Hixson,gregory.hixson@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,COMSATCOM Contract Administration and Acquisition Support Services,Fairfax,VA,541611,Other Than Small,Labor Hours,GSA Schedule,Competitive Schedule Buy,"$2,109,891.00","$4,000,000.00",,"Noblis, Inc.",GSQ0012NS0007,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,Jong Lee,jong.lee@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Awarded,"Technical, Analytical, and Coordination Support (TACS)",Washington,DC,541611,Other Than Small,Time and Materials,GSA Schedule,Competitive Schedule Buy,"$408,076.00","$533,546.00",,COMPUTER SCIENCES CORPORATION (CSC),GSQ0011NS0019,Exercise of Option,GSA funded,N/A,,FY 2015-1st Quarter,Jong Lee,jong.lee@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,IT Services Connections 2,Silver Spring,MD,517110,Small Business,Firm Fixed price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$2,500.00","$10,000,000,000.00",,A&T- CNXII,GS00Q12NSD0001,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Laura Seals,laura.seals@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,IT Services Connections 2,Chantilly,VA,517110,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$2,500.00","$10,000,000,000.00",,American- CNXII,GS00Q12NSD0002,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Laura Seals,laura.seals@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,IT Services Connections 2,Chantilly,VA,517110,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$2,500.00","$10,000,000,000.00",,Apptis- CNXII,GS00Q12NSD0003,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Laura Seals,laura.seals@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,IT Services Connections 2,Herndon,VA,517110,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$2,500.00","$10,000,000,000.00",,AT&T- CNXII,GS00Q12NSD0004,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Laura Seals,laura.seals@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
FAS-Office of Integrated Technology Services,Central Office,Planning,IT Services Connections 2,Fairfax,VA,517110,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,"$2,500.00","$10,000,000,000.00",,Avaya- CNXII,GS00Q12NSD0005,Exercise of Option,Non-GSA funded,N/A,,FY 2015-2nd Quarter,Laura Seals,laura.seals@gsa.gov,"Dewayne Carter, 703-605-2587, dewayne.carter@gsa.gov",Option Period to be exercised in FY2015
